Nome do Personagem,Força,Agilidade,Inteligência,Defesa,Código
Monkey D. Luffy (SUPER TRUNFO),95,85,70,80,1A
Roronoa Zoro,90,75,60,85,1B
Vinsmoke Sanji,85,90,65,75,1C
Nami,30,95,80,40,1D
Usopp,40,80,85,50,2A
Tony Tony Chopper,60,70,75,65,2B
Nico Robin,70,60,90,50,2C
Franky,80,50,65,90,2D
Brook,75,80,70,55,3A
Jinbe,90,75,70,95,3B
Portgas D. Ace,95,85,75,70,3C
Sabo,90,90,80,65,3D
Boa Hancock,80,90,75,60,4A
Trafalgar D. Water Law,85,90,95,70,4B
Buggy,50,70,55,50,4C
Dracule Mihawk,100,95,85,90,4D
Smoker,80,80,70,85,5A
Kuzan (Aokiji),95,90,85,75,5B
Rob Lucci,90,85,75,80,5C
Magellan,80,70,90,65,5D
Donquixote Doflamingo,95,85,80,75,6A
Sir Crocodile,90,80,75,85,6B
Nico Olvia,70,75,95,50,6C
Kaido,100,95,80,95,6D
Big Mom (Charlotte Linlin),95,80,75,100,7A
Shanks,95,95,90,90,7B
Blackbeard (Marshall D. Teach),100,85,85,95,7C
Gol D. Roger,100,100,100,100,7D
Kizaru (Borsalino),95,95,90,80,8A
Marco,90,80,70,85,8B
Nefertari Vivi,40,75,80,45,8C
Boa Sandersonia,80,85,70,70,8D
