Nome do Personagem,Força,Agilidade,Inteligência,Defesa,Código
Chama,80,60,40,70,1A
Besta,90,50,30,80,1B
Quatro Braços,95,40,20,90,1C
Diamante,70,80,50,60,1D
Massa Cinzenta,20,90,100,30,2A
Ultra T,85,70,40,75,2B
XLR8,60,95,30,50,2C
Insectóide,75,85,25,65,2D
Cipó Selvagem,80,50,35,75,3A
Enxurrada,70,40,45,80,3B
Bala de Canhão,100,30,20,90,3C
Acelerado,65,100,30,50,3D
Fantasmático,40,90,80,40,4A
Cromático,90,80,65,55,4B
Macaco-Aranha,85,70,40,70,4C
Armatu,100,50,30,80,4D
Tartagira,70,30,60,85,5A
Fogo Fátuo,75,65,50,75,5B
Friagem,80,40,70,70,5C
Enormossauro,110,30,25,95,5D
Estrela Polar,70,60,40,65,6A
Arraia-à-Jato,80,90,30,60,6B
Gigante,100,20,15,100,6C
NRG,95,50,60,70,6D
Ameaça Aquática,90,65,40,75,7A
Cipó Selvagem,80,50,35,75,7B
Fantasmático,40,90,80,40,7C
Acelerado,65,100,30,50,7D
Cromático,90,80,65,55,8A
Enxurrada,70,40,45,80,8B
Macaco-Aranha,85,70,40,70,8C
Buzzshock,60,85,55,75,8D
